,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
709,10, 2, JOLLY GENE, (T146), M Chadwick, A S Cruz, 132, 1090, 11, 16-1/4, 1.52.39, 39,20160907,20160907_6
710,1, 10, BOTH LUCKY, (T196), C Y Ho, C Fownes, 115, 1116, 9, -, 1.10.09, 47,20160907,20160907_7
711,3, 9, WONDERFUL JOURNEY, (T402), K K Chiong, P F Yiu, 111, 1118, 1, 2-3/4, 1.10.54, 4.4,20160907,20160907_7
712,5, 5, THE SHOW, (T256), D Whyte, C H Yip, 126, 1091, 12, 4-1/2, 1.10.81, 99,20160907,20160907_7
713,7, 3, EXCEL ONESELF, (P287), S Clipperton, Y S Tsui, 121, 1135, 8, 5-3/4, 1.11.02, 81,20160907,20160907_7
714,9, 11, CIRCUIT KING, (T324), K C Leung, A S Cruz, 115, 1105, 2, 6-1/2, 1.11.14, 12,20160907,20160907_7
715,11, 6, RAINBOW FIGHTER, (N193), O Doleuze, D Cruz, 122, 1075, 11, 7-3/4, 1.11.33, 99,20160907,20160907_7
716,WV, ALL GREAT FRIENDS, (S279), H W Lai, K L Man, 126, 1058, ---, ---, -,,,20160907,20160907_7
717,2, 2, HANG'S DECISION, (T262), Z Purton, W Y So, 127, 1095, 7, 1-1/2, 1.10.32, 2.7,20160907,20160907_7
718,4, 1, MOMENTUM LUCKY, (V151), J Moreira, J Size, 133, 1123, 5, 3, 1.10.58, 4.9,20160907,20160907_7
719,6, 8, VICTORY FOLLOW ME, (V182), K Teetan, D E Ferraris, 119, 1020, 3, 5-1/4, 1.10.94, 97,20160907,20160907_7
720,8, 7, NAVAS, (V362), C Schofield, R Gibson, 121, 1067, 4, 6, 1.11.04, 9.8,20160907,20160907_7
721,10, 12, MISSION POSSIBLE, (V043), T H So, C S Shum, 115, 984, 6, 6-1/2, 1.11.14, 15,20160907,20160907_7
722,12, 4, EXTREMELY FUN, (T024), N Callan, L Ho, 126, 1189, 10, 10-1/2, 1.11.76, 9.7,20160907,20160907_7
723,1, 5, SICHUAN DAR, (T375), C Y Ho, C Fownes, 120, 986, 4, -, 1.40.46, 4.4,20160907,20160907_8
724,3, 4, SUPER LIFELINE, (P158), K Teetan, A T Millard, 126, 1055, 6, 3-1/4, 1.41.00, 26,20160907,20160907_8
725,5, 2, AMBITIOUS CHAMPION, (S083), C Schofield, R Gibson, 130, 1088, 11, 4-3/4, 1.41.23, 43,20160907,20160907_8
726,7, 6, SPEEDY LONGWAH, (S242), N Callan, C S Shum, 122, 1138, 5, 5-3/4, 1.41.38, 5.8,20160907,20160907_8
727,9, 10, TRAVEL FIRST, (T098), K K Chiong, C H Yip, 111, 1190, 2, 6-1/4, 1.41.45, 22,20160907,20160907_8
728,11, 11, MAJESTIC ANTHEM, (P238), D Whyte, D J Hall, 117, 1080, 8, 7, 1.41.59, 35,20160907,20160907_8
729,2, 8, DYNAMISM, (T188), J Moreira, D E Ferraris, 120, 1161, 1, 1/2, 1.40.55, 2.9,20160907,20160907_8
730,4, 7, PHOTON WILLIE, (S199), O Doleuze, P O'Sullivan, 121, 1118, 12, 4-1/4, 1.41.15, 31,20160907,20160907_8
731,6, 1, BASIC TRILOGY, (V133), S Clipperton, J Moore, 133, 1202, 7, 5-1/2, 1.41.33, 33,20160907,20160907_8
732,8, 12, ISHVARA, (S015), H N Wong, T P Yung, 108, 1056, 3, 5-3/4, 1.41.39, 13,20160907,20160907_8
733,10, 3, DIVINE BOY, (T163), H W Lai, Y S Tsui, 129, 1072, 9, 6-3/4, 1.41.55, 41,20160907,20160907_8
734,12, 9, MAGICAL BEAUTY, (T342), Z Purton, A S Cruz, 120, 1136, 10, 10-3/4, 1.42.17, 5.6,20160907,20160907_8
735,1, 2, GOOD METHOD, (S218), J Moreira, C S Shum, 133, 1033, 12, -, 1.22.22, 2.1,20160907,20160907_1
736,3, 3, AMBITIOUS SPEEDY, (T063), H W Lai, A Lee, 132, 1167, 9, 2-1/4, 1.22.59, 18,20160907,20160907_1
737,5, 12, FANTASTICLIFE, (S320), O Doleuze, C Fownes, 124, 1108, 7, 4-1/4, 1.22.89, 6.3,20160907,20160907_1
738,7, 13, BLISS CARTEL, (S202), C Schofield, D E Ferraris, 115, 1069, 6, 4-1/2, 1.22.94, 12,20160907,20160907_1
739,9, 6, MUTUAL JOY, (T282), T H So, L Ho, 130, 1051, 8, 5, 1.23.02, 42,20160907,20160907_1
740,11, 5, GARLIC YEAH, (V039), D Whyte, C H Yip, 132, 997, 14, 6, 1.23.17, 61,20160907,20160907_1
741,13, 14, BERNARD'S CHOICE, (N156), K C Ng, T K Ng, 108, 1045, 13, 7-3/4, 1.23.46, 93,20160907,20160907_1
742,2, 7, POLYMER LUCK, (T326), C Y Ho, K W Lui, 130, 1057, 11, 2, 1.22.52, 11,20160907,20160907_1
743,4, 9, SHOW MISSION, (T436), K C Leung, Y S Tsui, 127, 1073, 1, 3-3/4, 1.22.84, 72,20160907,20160907_1
744,6, 8, CONSISTENT, (T045), Z Purton, T P Yung, 129, 955, 2, 4-1/4, 1.22.89, 12,20160907,20160907_1
745,8, 4, BRILLIANT MONKEYS, (S283), N Callan, C W Chang, 132, 1134, 5, 5, 1.23.02, 9.6,20160907,20160907_1
746,10, 1, ATOMIC BLAST, (T203), K Teetan, A T Millard, 133, 1013, 3, 5-1/2, 1.23.10, 13,20160907,20160907_1
747,12, 11, HAPPY CENTURY, (T042), H N Wong, D Cruz, 119, 1099, 10, 6-3/4, 1.23.29, 56,20160907,20160907_1
748,14, 10, MAJOR CONNECTION, (V067), O Bosson, D J Hall, 127, 1087, 4, 9-3/4, 1.23.78, 82,20160907,20160907_1
749,1, 1, UNIQUE HAPPIEST, (S245), K K Chiong, K W Lui, 126, 1117, 4, -, 1.47.60, 3.7,20160907,20160907_2
750,3, 8, BLAZING PASS, (T108), D Whyte, A S Cruz, 117, 1053, 10, 3-1/2, 1.48.18, 5.2,20160907,20160907_2
751,5, 10, CASA MASTER, (T160), C Schofield, C S Shum, 116, 1168, 6, 3-3/4, 1.48.21, 25,20160907,20160907_2
752,7, 2, ELECTRONIC PHOENIX, (S343), K Teetan, T P Yung, 131, 1173, 5, 4-1/4, 1.48.30, 5,20160907,20160907_2
753,9, 9, MISTRAL, (T386), H W Lai, A T Millard, 117, 1111, 1, 8-3/4, 1.49.00, 99,20160907,20160907_2
754,2, 5, AZTEC EMPIRE, (T064), O Doleuze, W Y So, 123, 1146, 2, NOSE, 1.47.61, 9.5,20160907,20160907_2
755,4, 6, KING BOUNTIFUL, (T105), J Moreira, J Size, 122, 1121, 8, 3-1/2, 1.48.18, 4.1,20160907,20160907_2
756,6, 3, PO CHING TREASURE, (S388), M Chadwick, P F Yiu, 131, 1077, 3, 4-1/4, 1.48.27, 10,20160907,20160907_2
757,8, 7, MAC ROW, (N252), K C Leung, A Lee, 116, 1022, 7, 5-1/4, 1.48.42, 36,20160907,20160907_2
758,10, 4, LIGHTNING AND GOLD, (P354), N Callan, C H Yip, 125, 1048, 9, 13-1/4, 1.49.71, 35,20160907,20160907_2
759,1, 8, CHEERFUL BOY, (V019), H N Wong, C S Shum, 111, 1084, 10, -, 1.34.86, 19,20160907,20160907_4
760,3, 1, MARVEL HERO, (T311), O Doleuze, C Fownes, 133, 975, 6, 3-3/4, 1.35.48, 7,20160907,20160907_4
761,5, 7, HOLMES LEGEND, (N375), C Schofield, W Y So, 119, 1054, 4, 5-1/2, 1.35.74, 13,20160907,20160907_4
762,7, 4, INDUSTRIALIST WAY, (S023), K K Chiong, C H Yip, 122, 1199, 1, 6-3/4, 1.35.94, 20,20160907,20160907_4
763,9, 6, WINNAM, (P119), K C Leung, T P Yung, 120, 1179, 9, 8-1/2, 1.36.23, 13,20160907,20160907_4
764,2, 5, CALIFORNIA JOY, (T406), J Moreira, A S Cruz, 128, 1180, 2, 2-1/2, 1.35.27, 2.1,20160907,20160907_4
765,4, 9, KITAYA, (S187), H W Lai, Y S Tsui, 118, 1058, 7, 5-1/4, 1.35.71, 99,20160907,20160907_4
766,6, 3, BEAUTY PRINCE, (T411), Z Purton, J Moore, 131, 1280, 3, 6, 1.35.82, 3.2,20160907,20160907_4
767,8, 10, LUCKY SEVEN STARS, (V263), K Teetan, P F Yiu, 118, 1072, 5, 7-1/2, 1.36.06, 55,20160907,20160907_4
768,10, 2, BALAY BALAY, (V247), M Chadwick, A T Millard, 131, 1138, 8, 10-3/4, 1.36.59, 99,20160907,20160907_4
769,1, 8, SEA JADE, (V307), S Clipperton, J Moore, 124, 1201, 12, -, 1.09.62, 7.4,20160907,20160907_5
770,3, 13, WINNING BOY, (N186), C Schofield, R Gibson, 116, 972, 8, 2, 1.09.92, 8.7,20160907,20160907_5
771,5, 12, RUMINARE, (V086), J Moreira, K L Man, 117, 1156, 10, 2-3/4, 1.10.05, 2.9,20160907,20160907_5
772,7, 5, OSCAR MIRACLE, (P431), T H So, P F Yiu, 124, 1112, 6, 3-1/4, 1.10.15, 63,20160907,20160907_5
773,9, 6, WINNINGLI, (V377), K C Ng, A S Cruz, 120, 1047, 11, 5, 1.10.43, 13,20160907,20160907_5
774,11, 4, FURIOUS PEGASUS, (S441), O Bosson, T K Ng, 126, 1027, 2, 5-1/4, 1.10.47, 25,20160907,20160907_5
775,13, 7, EMPIRE OF MONGOLIA, (V317), N Callan, C S Shum, 124, 1032, 13, 7-1/4, 1.10.78, 37,20160907,20160907_5
776,2, 9, FOREVER ACCURATE, (S301), Z Purton, C H Yip, 121, 1122, 9, 1-3/4, 1.09.91, 17,20160907,20160907_5
777,4, 3, BOSSIEE, (S405), O Doleuze, D Cruz, 130, 1157, 5, 2-1/4, 1.09.99, 7.4,20160907,20160907_5
778,6, 2, YOUNG EMPIRE, (V116), B Prebble, W Y So, 133, 1029, 1, 2-3/4, 1.10.08, 17,20160907,20160907_5
779,8, 10, HAPPY WAY WINNER, (V224), M L Yeung, K W Lui, 119, 1058, 4, 4-1/4, 1.10.31, 63,20160907,20160907_5
780,10, 14, SEASONS KING, (T032), K C Leung, D J Hall, 115, 1045, 14, 5, 1.10.44, 6.2,20160907,20160907_5
781,12, 11, UNIQUE AWESOME, (T088), H W Lai, A Lee, 118, 1059, 3, 6-1/2, 1.10.64, 56,20160907,20160907_5
782,14, 1, VICTORIUS, (N423), C Y Ho, Y S Tsui, 131, 1120, 7, 8, 1.10.89, 48,20160907,20160907_5
783,1, 5, NEW ASIA SUNRISE, (T268), B Prebble, Y S Tsui, 122, 984, 12, -, 1.08.99, 6.1,20160907,20160907_7
784,3, 7, DUKEDOM, (V372), D Whyte, C H Yip, 120, 1066, 9, 1/2, 1.09.09, 22,20160907,20160907_7
785,5, 4, CLEVER BEAVER, (S352), N Callan, A S Cruz, 122, 1093, 4, 1-1/4, 1.09.20, 14,20160907,20160907_7
786,7, 13, BULLISH SMART, (S221), M Chadwick, A S Cruz, 117, 1104, 2, 1-1/2, 1.09.21, 13,20160907,20160907_7
787,9, 9, HIT THE BID, (P214), K Teetan, A T Millard, 119, 1174, 11, 1-1/2, 1.09.24, 41,20160907,20160907_7
788,11, 8, TRAVEL DATUK, (V235), M L Yeung, R Gibson, 118, 1093, 3, 3-1/4, 1.09.52, 14,20160907,20160907_7
789,13, 1, WHITE MAGIC, (V111), C Y Ho, J Moore, 117, 1068, 14, 5-1/4, 1.09.84, 27,20160907,20160907_7
790,WV, I'M IN CHARGE, (S164), H N Wong, C Fownes, 126, 1060, ---, ---, -,,,20160907,20160907_7
791,2, 2, PABLOSKY, (S156), S Clipperton, J Moore, 132, 1140, 7, 1/2, 1.09.05, 79,20160907,20160907_7
792,4, 11, MIDNIGHT RATTLER, (T371), J Moreira, J Moore, 119, 1146, 8, 1-1/4, 1.09.18, 7.9,20160907,20160907_7
793,6, 6, BACK IN BLACK, (T358), Z Purton, P O'Sullivan, 121, 1067, 13, 1-1/2, 1.09.21, 27,20160907,20160907_7
794,8, 10, MARVEL TRIBE, (S142), K K Chiong, K W Lui, 112, 1102, 1, 1-1/2, 1.09.23, 2.7,20160907,20160907_7
795,10, 14, HAMMER KING, (V034), K C Leung, P F Yiu, 115, 1197, 10, 2-1/4, 1.09.36, 10,20160907,20160907_7
796,12, 3, TONYBOY, (S101), C Schofield, T P Yung, 124, 1187, 5, 4-3/4, 1.09.75, 16,20160907,20160907_7
797,14, 12, SMART DECLARATION, (S436), H W Lai, D E Ferraris, 119, 1162, 6, 6-3/4, 1.10.05, 25,20160907,20160907_7
798,1, 3, AMAZING KIDS, (T179), B Prebble, J Size, 126, 1159, 2, -, 0.56.19, 5.6,20160907,20160907_8
799,3, 1, PENIAPHOBIA, (S143), M Chadwick, A S Cruz, 133, 1158, 6, 1, 0.56.35, 3.5,20160907,20160907_8
800,5, 2, NOT LISTENIN'TOME, (T235), N Callan, J Moore, 130, 1160, 7, 2-3/4, 0.56.62, 2.7,20160907,20160907_8
801,7, 4, DOMINEER, (P366), O Doleuze, C Fownes, 123, 1212, 5, 7-1/2, 0.57.38, 23,20160907,20160907_8
802,2, 5, AMBER SKY, (N241), M L Yeung, P F Yiu, 113, 1177, 3, SH, 0.56.20, 4.6,20160907,20160907_8
803,4, 6, ALL YOU WISH, (P031), K Teetan, C H Yip, 113, 1196, 1, 2-1/2, 0.56.57, 11,20160907,20160907_8
804,6, 7, GOLDEN HARVEST, (N236), J Moreira, A T Millard, 115, 1184, 4, 3-3/4, 0.56.80, 28,20160907,20160907_8
805,1, 11, JOYFUL TRINITY, (V110), J Moreira, J Moore, 115, 1156, 7, -, 1.21.11, 2.1,20160907,20160907_10
806,3, 4, BEAUTY FLAME, (S117), M Chadwick, A S Cruz, 129, 1191, 10, 1-1/2, 1.21.37, 26,20160907,20160907_10
807,5, 1, CONTENTMENT, (S391), B Prebble, J Size, 133, 1143, 2, 1-3/4, 1.21.41, 5.1,20160907,20160907_10
808,7, 8, DASHING FELLOW, (S284), K C Leung, J Moore, 118, 1184, 3, 2-3/4, 1.21.55, 30,20160907,20160907_10
809,9, 5, PACKING PINS, (S386), C Schofield, P F Yiu, 129, 1181, 11, 4, 1.21.74, 9.5,20160907,20160907_10
810,11, 9, HELENE SUPER STAR, (S152), K C Ng, A S Cruz, 114, 1208, 12, 8-1/2, 1.22.46, 99,20160907,20160907_10
811,2, 2, BEAUTY ONLY, (S411), Z Purton, A S Cruz, 132, 1149, 9, 1-1/4, 1.21.32, 9.2,20160907,20160907_10
812,4, 10, ROMANTIC TOUCH, (S393), C Y Ho, A S Cruz, 113, 1149, 8, 1-3/4, 1.21.38, 14,20160907,20160907_10
813,6, 7, HORSE OF FORTUNE, (T118), K K Chiong, A T Millard, 119, 1073, 6, 2-1/2, 1.21.51, 93,20160907,20160907_10
814,8, 6, SECRET WEAPON, (S217), D Whyte, C H Yip, 123, 1162, 4, 3-3/4, 1.21.70, 28,20160907,20160907_10
815,10, 3, HELENE PARAGON, (V167), S Clipperton, J Moore, 131, 1085, 1, 4-1/2, 1.21.82, 7.9,20160907,20160907_10
816,12, 12, BRILLIANT SHINE, (S099), T H So, C H Yip, 113, 1086, 5, 9, 1.22.56, 99,20160907,20160907_10
817,1, 10, TURF SPRINT, (T396), S Clipperton, W Y So, 120, 1124, 11, -, 1.08.56, 51,20160907,20160907_11
818,3, 5, EROICO, (T009), J Moreira, J Size, 124, 1134, 6, 2, 1.08.87, 7.9,20160907,20160907_11
819,5, 1, KEY WITNESS, (S212), M Chadwick, A S Cruz, 133, 1193, 4, 3, 1.09.04, 7.1,20160907,20160907_11
820,7, 7, MALMSTEEN, (V059), H W Lai, K L Man, 122, 1160, 9, 3-3/4, 1.09.17, 22,20160907,20160907_11
821,9, 14, LAND GRANT, (V131), K C Leung, C S Shum, 115, 1137, 14, 5, 1.09.37, 99,20160907,20160907_11
822,11, 13, GO BABY GO, (N033), K K Chiong, C H Yip, 111, 1102, 13, 7, 1.09.67, 45,20160907,20160907_11
823,13, 6, ALMABABY, (V057), H N Wong, Y S Tsui, 116, 1137, 2, 9, 1.10.01, 17,20160907,20160907_11
824,2, 3, MR BOGART, (V253), C Schofield, J Moore, 127, 1258, 10, 1-1/4, 1.08.75, 2.5,20160907,20160907_11
825,4, 2, LINE SEEKER, (S269), Z Purton, P O'Sullivan, 127, 1106, 5, 2, 1.08.90, 4.5,20160907,20160907_11
826,6, 9, PERPETUAL TREASURE, (S191), T H So, T P Yung, 118, 1110, 8, 3-3/4, 1.09.16, 99,20160907,20160907_11
827,8, 8, MYTHICAL EMPEROR, (T419), M L Yeung, T P Yung, 120, 1161, 7, 4-1/2, 1.09.30, 8.5,20160907,20160907_11
828,10, 12, FLYING TOURBILLON, (T051), K C Ng, P F Yiu, 114, 1124, 3, 6-1/4, 1.09.57, 40,20160907,20160907_11
829,12, 4, GONNA RUN, (T094), C Y Ho, C Fownes, 123, 1053, 12, 7-3/4, 1.09.82, 99,20160907,20160907_11
830,14, 11, DISCIPLES TWELVE, (P018), K Teetan, C Fownes, 119, 1107, 1, 10-1/4, 1.10.21, 66,20160907,20160907_11
831,1, 11, SWEET BEAN, (S205), J Moreira, C Fownes, 115, 1019, 3, -, 1.51.59, 2.8,20160907,20160907_1
832,3, 1, BEST JADE TRIUMPH, (P070), B Prebble, A Lee, 133, 1019, 9, 2-1/2, 1.52.01, 19,20160907,20160907_1
833,5, 4, FRANCE VALOUR, (S408), O Bosson, T P Yung, 131, 1129, 11, 2-3/4, 1.52.04, 18,20160907,20160907_1
834,7, 5, KERKENI, (T053), Z Purton, R Gibson, 131, 1032, 4, 3-1/2, 1.52.16, 3.6,20160907,20160907_1
835,9, 8, LOYAL CRAFTSMAN, (S354), N Callan, D E Ferraris, 121, 1037, 6, 4-3/4, 1.52.36, 14,20160907,20160907_1
836,11, 12, FRESH AND FRESH, (P407), T H So, L Ho, 111, 1071, 1, 7-1/2, 1.52.78, 16,20160907,20160907_1
837,2, 2, MALAYAN PEARL, (N416), K K Chiong, D Cruz, 125, 1155, 2, 2-1/4, 1.51.97, 15,20160907,20160907_1
838,4, 7, GLAMOROUS RYDER, (S007), S Clipperton, P O'Sullivan, 126, 1059, 7, 2-3/4, 1.52.03, 20,20160907,20160907_1
839,6, 6, YEUNG SING, (P001), K Teetan, K W Lui, 131, 1114, 8, 3-1/4, 1.52.12, 10,20160907,20160907_1
840,8, 3, EQUITY DOCTRINE, (T329), O Doleuze, C W Chang, 131, 1136, 12, 4-1/2, 1.52.33, 33,20160907,20160907_1
841,10, 10, HOLY STAR, (T068), M L Yeung, D J Hall, 113, 1014, 5, 7, 1.52.73, 16,20160907,20160907_1
842,12, 9, ENJOY THE GAME, (S062), K C Leung, P F Yiu, 118, 1188, 10, 12-1/4, 1.53.56, 21,20160907,20160907_1
843,1, 10, FINE ROCK, (S317), C Y Ho, C Fownes, 113, 1073, 3, -, 1.10.80, 7.5,20160907,20160907_2
844,3, 3, AMAZING FEELING, (V031), N Callan, R Gibson, 129, 1115, 5, 2-1/2, 1.11.18, 3.6,20160907,20160907_2
845,5, 8, VICTOR EMPEROR, (S425), C Schofield, C H Yip, 122, 1122, 1, 3-1/2, 1.11.34, 4.9,20160907,20160907_2
846,7, 1, MIDNITE PROMISE, (S379), O Bosson, T K Ng, 133, 1024, 4, 4-1/2, 1.11.50, 90,20160907,20160907_2
847,9, 5, HAPPY BEAUTY, (V375), S Clipperton, L Ho, 125, 1112, 8, 5-3/4, 1.11.74, 68,20160907,20160907_2
848,11, 11, KIM GLORY, (S087), K K Chiong, D Cruz, 108, 1185, 9, 11-1/2, 1.12.65, 25,20160907,20160907_2
849,2, 2, FLYING MONKEY, (T361), J Moreira, W Y So, 131, 1075, 6, 1-1/4, 1.11.00, 2.7,20160907,20160907_2
850,4, 7, HAYMAKER, (T054), H N Wong, K W Lui, 117, 1094, 2, 2-1/2, 1.11.21, 26,20160907,20160907_2
851,6, 4, NEVER BETTER, (T140), D Whyte, P O'Sullivan, 128, 1171, 11, 3-3/4, 1.11.41, 13,20160907,20160907_2
852,8, 9, GAINFULJET, (V283), M Chadwick, A S Cruz, 119, 1206, 12, 5-3/4, 1.11.73, 33,20160907,20160907_2
853,10, 12, WORLD CITY, (S019), K C Leung, T P Yung, 114, 1266, 10, 7-1/2, 1.12.00, 68,20160907,20160907_2
854,12, 6, GOLDEN GLORY, (T076), M L Yeung, A Lee, 122, 1071, 7, 13, 1.12.88, 75,20160907,20160907_2
855,1, 4, VERBINSKY, (V052), D Whyte, A S Cruz, 129, 1071, 5, -, 1.11.06, 2.9,20160907,20160907_3
856,3, 6, DIAMOND MASTER, (S397), O Bosson, P F Yiu, 124, 1164, 3, 3/4, 1.11.17, 4.5,20160907,20160907_3
857,5, 2, WHY WHY, (P372), Z Purton, C Fownes, 132, 1157, 1, 3-3/4, 1.11.66, 5,20160907,20160907_3
858,7, 11, RADIANT STEED, (V127), H N Wong, Y S Tsui, 108, 1151, 8, 5-3/4, 1.11.98, 18,20160907,20160907_3
859,9, 3, STARTLING POWER, (S204), S Clipperton, T K Ng, 130, 1060, 7, 6, 1.12.01, 63,20160907,20160907_3
860,11, 9, MR RIGHT, (T334), T H So, L Ho, 118, 1205, 11, 7-3/4, 1.12.31, 66,20160907,20160907_3
861,2, 5, PRESIDENTPARAMOUNT, (S420), C Schofield, C S Shum, 125, 1175, 12, 1/2, 1.11.14, 17,20160907,20160907_3
862,4, 10, ENREACHING, (V291), J Moreira, J Size, 115, 1109, 6, 3, 1.11.55, 21,20160907,20160907_3
863,6, 7, GOLDEN CHOPSTICKS, (P120), H W Lai, A Lee, 121, 1182, 4, 4-1/4, 1.11.74, 19,20160907,20160907_3
864,8, 8, ELITE SPIRIT, (S200), B Prebble, W Y So, 120, 1160, 9, 5-3/4, 1.11.98, 61,20160907,20160907_3
865,10, 1, E-SUPER, (T010), N Callan, K L Man, 133, 1051, 10, 6-1/4, 1.12.04, 5.5,20160907,20160907_3
866,12, 12, DIGITAL PIONEER, (V177), C Y Ho, D J Hall, 113, 1086, 2, 8-1/2, 1.12.43, 99,20160907,20160907_3
867,1, 4, SHARP HUNTER, (P097), D Whyte, D E Ferraris, 128, 1138, 7, -, 1.11.41, 4.9,20160907,20160907_4
868,3, 10, YO-YO DA, (S104), N Callan, W Y So, 120, 1138, 5, 1-3/4, 1.11.70, 8.6,20160907,20160907_4
869,5, 6, KIROV, (S277), B Prebble, D J Hall, 123, 1212, 12, 2-1/2, 1.11.83, 13,20160907,20160907_4
870,7, 7, ACE KING, (T331), S Clipperton, L Ho, 122, 1129, 10, 3-1/4, 1.11.93, 6.3,20160907,20160907_4
871,9, 8, ROBUST MOMENTUM, (P422), O Doleuze, C Fownes, 121, 1208, 8, 4-1/4, 1.12.08, 7.5,20160907,20160907_4
872,11, 2, ROCKET LET WIN, (P330), K C Leung, D Cruz, 131, 1088, 1, 6-1/2, 1.12.46, 11,20160907,20160907_4
873,2, 12, YOURTHEWONFORME, (T258), T H So, T K Ng, 113, 1121, 4, 1-1/2, 1.11.63, 12,20160907,20160907_4
874,4, 11, SMART SALUTE, (V117), H N Wong, Y S Tsui, 110, 1106, 9, 1-3/4, 1.11.71, 37,20160907,20160907_4
875,6, 3, WILD BOY, (S028), O Bosson, T P Yung, 133, 1186, 2, 3, 1.11.89, 39,20160907,20160907_4
876,8, 5, LONDON MASTER, (T345), K K Chiong, K L Man, 119, 1073, 6, 3-1/2, 1.11.97, 16,20160907,20160907_4
877,10, 9, OCTAL LUCK, (T205), M L Yeung, A Lee, 118, 1253, 3, 5, 1.12.22, 9,20160907,20160907_4
878,12, 1, ARM RUNDA, (V248), J Moreira, J Size, 133, 1188, 11, 6-1/2, 1.12.47, 7.2,20160907,20160907_4
879,1, 2, ROYAL PARTNER, (N394), B Prebble, C Fownes, 133, 1075, 4, -, 1.42.42, 2.6,20160907,20160907_5
880,3, 3, HAPPY AND HEALTHY, (T056), N Callan, D J Hall, 132, 1111, 3, 2, 1.42.73, 11,20160907,20160907_5
881,5, 4, SUPER SPRINTER, (V105), J Moreira, C S Shum, 132, 1021, 11, 3-1/4, 1.42.93, 4,20160907,20160907_5
882,7, 7, WIN IT, (P032), H N Wong, W Y So, 122, 1010, 6, 4, 1.43.04, 13,20160907,20160907_5
883,9, 12, ST YAZIN, (N409), M Chadwick, T K Ng, 117, 1063, 5, 7-1/4, 1.43.57, 22,20160907,20160907_5
884,11, 5, FOREVER POSH, (V072), M L Yeung, A S Cruz, 129, 1013, 12, 9-1/4, 1.43.89, 11,20160907,20160907_5
885,2, 9, SPARKLING SWORD, (P256), K K Chiong, K W Lui, 120, 1173, 2, 1-1/4, 1.42.61, 12,20160907,20160907_5
886,4, 1, PEARL WIN, (P085), K Teetan, A T Millard, 133, 1048, 9, 2-3/4, 1.42.86, 18,20160907,20160907_5
887,6, 10, EXCELLENCE, (T314), T H So, A Lee, 124, 1024, 7, 3-3/4, 1.43.01, 31,20160907,20160907_5
888,8, 11, EMPEROR VICTORY, (T340), D Whyte, Y S Tsui, 125, 1079, 1, 4-3/4, 1.43.18, 8.6,20160907,20160907_5
889,10, 6, GLORIOUS SUN, (T310), O Doleuze, C W Chang, 131, 1121, 8, 8-3/4, 1.43.80, 65,20160907,20160907_5
890,WX-A, 8, GRACEFUL KINGDOM, (P145), C Schofield, P F Yiu, 128, 1189, ---, ---,,,20160907,20160907_5
891,1, 4, VICTORY BOYS, (S355), B Prebble, D J Hall, 128, 1189, 9, -, 1.42.56, 5.2,20160907,20160907_6
892,3, 7, PEARL FURU, (T431), K C Leung, P O'Sullivan, 122, 1165, 2, 2-1/4, 1.42.90, 11,20160907,20160907_6
893,5, 2, BEST TANGO, (S121), D Whyte, W Y So, 131, 1053, 5, 2-3/4, 1.42.99, 11,20160907,20160907_6
894,7, 5, SOUL ACHIEVER, (S133), K Teetan, A T Millard, 127, 1141, 1, 3-1/4, 1.43.09, 5,20160907,20160907_6
895,9, 8, CIRCUIT FORTUNE, (P357), M L Yeung, A Lee, 121, 1061, 3, 6-1/4, 1.43.57, 74,20160907,20160907_6
896,11, 6, HOLY UNICORN, (V179), C Y Ho, A S Cruz, 122, 1035, 10, 9-1/2, 1.44.08, 98,20160907,20160907_6
897,2, 10, NEWSWIRE FREE, (S407), J Moreira, P F Yiu, 121, 1125, 8, 2, 1.42.86, 5.2,20160907,20160907_6
898,4, 12, MR KOOL, (T335), M Chadwick, A S Cruz, 116, 1054, 4, 2-1/4, 1.42.93, 6.7,20160907,20160907_6
899,6, 3, GREAT TOPLIGHT, (T031), O Doleuze, C Fownes, 128, 1077, 6, 3-1/4, 1.43.08, 7.8,20160907,20160907_6
900,8, 1, GOOD CHOICE, (P423), Z Purton, C H Yip, 133, 1012, 12, 4-3/4, 1.43.31, 19,20160907,20160907_6
901,10, 11, GLORY STAR, (T336), C Schofield, C S Shum, 117, 1116, 7, 7-3/4, 1.43.81, 13,20160907,20160907_6
902,12, 9, RICHCITY FORTUNE, (V088), N Callan, J Moore, 123, 1142, 11, 10-1/2, 1.44.24, 37,20160907,20160907_6
903,1, 2, TEN FLAMES, (S447), T H So, L Ho, 127, 1107, 5, -, 1.41.60, 41,20160907,20160907_7
904,3, 7, VARA PEARL, (S138), C Schofield, A T Millard, 121, 1033, 3, 3/4, 1.41.74, 14,20160907,20160907_7
905,5, 9, SUPER FLUKE, (T382), K C Leung, D Cruz, 118, 1102, 8, 1-3/4, 1.41.90, 3.4,20160907,20160907_7
906,7, 3, KINGSFIELD, (T403), J Moreira, R Gibson, 126, 1112, 6, 3-1/4, 1.42.14, 3,20160907,20160907_7
907,9, 5, RED MARVEL, (T417), M L Yeung, J Size, 123, 1064, 4, 4-1/4, 1.42.30, 17,20160907,20160907_7
