,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
4900,10, 2, VOLITATION, (V223), J Moreira, J Size, 131, 1150, 12, 2-1/2, 1.22.42, 2.6,20160907,20160907_9
4901,12, 11, VICTORY MACHINE, (V358), S Clipperton, J Moore, 119, 1038, 5, 3, 1.22.51, 10,20160907,20160907_9
4902,14, 4, HINYUEN SWIFTNESS, (V250), W L Ho, C H Yip, 129, 1177, 8, 5-1/2, 1.22.90, 99,20160907,20160907_9
4903,1, 2, MIGHTY MAVERICK, (V150), J Moreira, D Cruz, 129, 1143, 2, -, 1.21.19, 7.1,20160907,20160907_10
4904,3, 4, CITRON SPIRIT, (T286), S Clipperton, P F Yiu, 126, 1031, 8, 1, 1.21.37, 3.7,20160907,20160907_10
4905,5, 12, ROMAN IMPERO, (V371), T H So, C H Yip, 112, 1128, 1, 4, 1.21.82, 99,20160907,20160907_10
4906,7, 9, THE SUPREME, (V370), K C Leung, L Ho, 120, 1146, 13, 4-1/2, 1.21.91, 10,20160907,20160907_10
4907,9, 14, WISKY, (T368), K Teetan, J Size, 114, 1164, 10, 5-3/4, 1.22.10, 7.8,20160907,20160907_10
4908,11, 10, KING OF MONGOLIA, (S414), H T Mo, C S Shum, 109, 1155, 12, 6-3/4, 1.22.26, 69,20160907,20160907_10
4909,13, 7, LITTLE DEVIL, (V339), M Chadwick, K W Lui, 123, 1134, 7, 12-3/4, 1.23.22, 56,20160907,20160907_10
4910,2, 8, DARING FIT, (V398), D Whyte, A S Cruz, 122, 1231, 14, 3/4, 1.21.31, 4.4,20160907,20160907_10
4911,4, 5, ROUNDABOUT, (T352), B Prebble, W Y So, 126, 1115, 11, 3-1/2, 1.21.75, 12,20160907,20160907_10
4912,6, 13, SHAMAL, (V290), K K Chiong, Y S Tsui, 109, 1205, 5, 4-1/2, 1.21.91, 9.6,20160907,20160907_10
4913,8, 3, ROYAL ELITE, (V300), C Y Ho, C Fownes, 125, 1095, 6, 5-1/2, 1.22.07, 37,20160907,20160907_10
4914,10, 11, COURAGEOUS BROTHER, (T397), H W Lai, K L Man, 116, 1091, 9, 6-1/2, 1.22.22, 99,20160907,20160907_10
4915,12, 1, LAND GRANT, (V131), C Schofield, A T Millard, 131, 1116, 3, 7, 1.22.30, 37,20160907,20160907_10
4916,14, 6, CHEVALIER STAR, (T167), Z Purton, J Moore, 123, 1242, 4, 28-3/4, 1.25.79, 14,20160907,20160907_10
4917,1, 10, PRAWN BABA, (A002), J Moreira, J Size, 115, 1077, 9, -, 1.46.44, 3.1,20160907,20160907_11
4918,3, 4, LIMITLESS, (A115), N Callan, L Ho, 122, 1067, 5, 2-1/4, 1.46.78, 3.8,20160907,20160907_11
4919,5, 6, HAPPILABABY, (T315), K C Leung, C S Shum, 114, 1113, 2, 3-3/4, 1.47.02, 13,20160907,20160907_11
4920,7, 8, STAR MAJESTIC, (S093), H W Lai, P O'Sullivan, 115, 1112, 4, 3-3/4, 1.47.05, 50,20160907,20160907_11
4921,9, 14, WHO DAT SINGA, (A003), C Schofield, R Gibson, 115, 1159, 8, 4-1/2, 1.47.14, 11,20160907,20160907_11
4922,11, 11, RAGHU, (V395), C Y Ho, C Fownes, 113, 1148, 7, 8, 1.47.70, 99,20160907,20160907_11
4923,13, 12, ENSURING, (S437), T H So, J Size, 111, 1134, 14, 9-1/4, 1.47.91, 16,20160907,20160907_11
4924,2, 5, SOLAR HEI HEI, (T242), H N Wong, D J Hall, 110, 1107, 11, 1-3/4, 1.46.72, 14,20160907,20160907_11
4925,4, 9, CIRCUIT HASSLER, (A041), M Chadwick, A S Cruz, 113, 1122, 13, 3, 1.46.93, 12,20160907,20160907_11
4926,6, 3, HELENE SUPER STAR, (S152), S Clipperton, A S Cruz, 122, 1210, 1, 3-3/4, 1.47.04, 29,20160907,20160907_11
4927,8, 7, HAPPY PLACE, (S380), K Teetan, T P Yung, 115, 1136, 10, 4-1/4, 1.47.11, 22,20160907,20160907_11
4928,10, 2, SUPREME PROFIT, (P230), Z Purton, C S Shum, 129, 1279, 12, 4-3/4, 1.47.20, 11,20160907,20160907_11
4929,12, 1, BASIC TRILOGY, (V133), D Whyte, J Moore, 133, 1204, 6, 8, 1.47.72, 19,20160907,20160907_11
4930,14, 13, LET US WIN, (V381), K K Chiong, J Moore, 108, 1111, 3, 17, 1.49.18, 70,20160907,20160907_11
